# Source: FS-World.org | FS-World Data License - Version 1.0 | Retrieved: 2026-07-21 15:46 UTC
competition_id,event_id,competition_name,event_title,event_date,event_class,n_teams,rank,university,country,total_pts,total_rank,total_pct,bp_pts,bp_rank,bp_pct,cm_pts,cm_rank,cm_pct,ed_pts,ed_rank,ed_pct,sp_pts,sp_rank,sp_pct,ds_pts,ds_rank,ds_pct,ac_pts,ac_rank,ac_pct,da_pts,da_rank,da_pct,ax_pts,ax_rank,ax_pct,en_pts,en_rank,en_pct,ef_pts,ef_rank,ef_pct,td_pts,td_rank,td_pct,penalty_pts,penalty_rank
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,1,UPV Valéncia,ES,909.0,1,91.0,71.3,2,95.0,83.7,10,84.0,71.3,2,95.0,83.7,10,84.0,150.0,1,100.0,75.0,1,100.0,72.5,33,72.0,75.0,1,100.0,72.5,33,72.0,72.5,33,72.0,72.5,33,72.0,113.1,4
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,2,Purdue West Lafayette,US,843.3,2,84.0,69.4,5,93.0,72.0,40,72.0,69.4,5,93.0,72.0,40,72.0,126.0,3,84.0,54.2,20,72.0,87.8,7,88.0,54.2,20,72.0,87.8,7,88.0,87.8,7,88.0,87.8,7,88.0,124.5,2
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,3,K-State Manhattan,US,804.3,3,80.0,50.6,26,67.0,89.8,4,90.0,50.6,26,67.0,89.8,4,90.0,105.0,12,70.0,43.6,31,58.0,86.0,12,86.0,43.6,31,58.0,86.0,12,86.0,86.0,12,86.0,86.0,12,86.0,112.5,5
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,4,U Conn Storrs,US,793.3,4,79.0,69.6,3,93.0,84.4,9,84.0,69.6,3,93.0,84.4,9,84.0,80.0,21,53.0,58.7,17,78.0,78.7,20,79.0,58.7,17,78.0,78.7,20,79.0,78.7,20,79.0,78.7,20,79.0,111.1,6
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,5,GTech Atlanta,US,788.8,5,79.0,54.6,18,73.0,80.7,18,81.0,54.6,18,73.0,80.7,18,81.0,112.0,8,75.0,66.2,4,88.0,77.0,25,77.0,66.2,4,88.0,77.0,25,77.0,77.0,25,77.0,77.0,25,77.0,91.6,15
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,6,UA Tuscaloosa,US,761.4,6,76.0,55.4,16,74.0,78.2,24,78.0,55.4,16,74.0,78.2,24,78.0,114.0,6,76.0,68.6,3,91.0,88.3,6,88.0,68.6,3,91.0,88.3,6,88.0,88.3,6,88.0,88.3,6,88.0,96.2,11
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,7,USC Los Angeles,US,741.7,7,74.0,52.1,24,69.0,78.1,25,78.0,52.1,24,69.0,78.1,25,78.0,116.0,5,77.0,39.7,37,53.0,78.6,21,79.0,39.7,37,53.0,78.6,21,79.0,78.6,21,79.0,78.6,21,79.0,125.0,1
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,8,TAMU College Station,US,731.4,8,73.0,38.0,40,51.0,82.2,13,82.0,38.0,40,51.0,82.2,13,82.0,111.0,9,74.0,58.9,15,79.0,97.4,2,97.0,58.9,15,79.0,97.4,2,97.0,97.4,2,97.0,97.4,2,97.0,102.5,9
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,9,EESC-USP São Carlos,BR,705.2,9,71.0,58.8,11,78.0,90.7,3,91.0,58.8,11,78.0,90.7,3,91.0,122.0,4,81.0,72.2,2,96.0,51.2,59,51.0,72.2,2,96.0,51.2,59,51.0,51.2,59,51.0,51.2,59,51.0,103.1,7
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,10,UC Berkeley,US,688.8,10,69.0,37.2,42,50.0,86.6,5,87.0,37.2,42,50.0,86.6,5,87.0,80.0,21,53.0,62.1,8,83.0,39.3,64,39.0,62.1,8,83.0,39.3,64,39.0,39.3,64,39.0,39.3,64,39.0,88.2,22
1,409,Formula SAE® Michigan,Formula SAE® Michigan,2026-05,CV,111,11,UMD College Park,US,685.9,11,69.0,53.0,20,71.0,82.9,11,83.0,53.0,20,71.0,82.9,11,83.0,109.0,11,73.0,59.2,13,79.0,82.2,17,82.0,59.2,13,79.0,82.2,17,82.0,82.2,17,82.0,82.2,17,82.0,90.5,17
